index,name,type,parameters,filters,kernel_size,strides,padding,activation,pool_size,rate
0,separable_conv2d_20_input,InputLayer,N/A,,,,,,,
1,separable_conv2d_20,SeparableConv2D,N/A,48.0,"[3, 3]","[1, 1]",same,linear,,
2,batch_normalization_18,BatchNormalization,N/A,,,,,,,
3,leaky_re_lu_18,LeakyReLU,N/A,,,,,,,
4,separable_conv2d_21,SeparableConv2D,N/A,48.0,"[3, 3]","[1, 1]",same,linear,,
5,batch_normalization_19,BatchNormalization,N/A,,,,,,,
6,leaky_re_lu_19,LeakyReLU,N/A,,,,,,,
7,separable_conv2d_22,SeparableConv2D,N/A,48.0,"[3, 3]","[1, 1]",same,linear,,
8,batch_normalization_20,BatchNormalization,N/A,,,,,,,
9,max_pooling2d_8,MaxPooling2D,N/A,,,"[2, 2]",valid,,"[2, 2]",
10,spatial_dropout2d_8,SpatialDropout2D,N/A,,,,,,,0.1
11,leaky_re_lu_20,LeakyReLU,N/A,,,,,,,
12,separable_conv2d_23,SeparableConv2D,N/A,96.0,"[3, 3]","[1, 1]",same,linear,,
13,batch_normalization_21,BatchNormalization,N/A,,,,,,,
14,leaky_re_lu_21,LeakyReLU,N/A,,,,,,,
15,separable_conv2d_24,SeparableConv2D,N/A,96.0,"[3, 3]","[1, 1]",same,linear,,
16,batch_normalization_22,BatchNormalization,N/A,,,,,,,
17,leaky_re_lu_22,LeakyReLU,N/A,,,,,,,
18,separable_conv2d_25,SeparableConv2D,N/A,96.0,"[3, 3]","[1, 1]",same,linear,,
19,batch_normalization_23,BatchNormalization,N/A,,,,,,,
20,max_pooling2d_9,MaxPooling2D,N/A,,,"[2, 2]",valid,,"[2, 2]",
21,spatial_dropout2d_9,SpatialDropout2D,N/A,,,,,,,0.1
22,leaky_re_lu_23,LeakyReLU,N/A,,,,,,,
23,separable_conv2d_26,SeparableConv2D,N/A,192.0,"[3, 3]","[1, 1]",same,linear,,
24,batch_normalization_24,BatchNormalization,N/A,,,,,,,
25,leaky_re_lu_24,LeakyReLU,N/A,,,,,,,
26,separable_conv2d_27,SeparableConv2D,N/A,192.0,"[3, 3]","[1, 1]",same,linear,,
27,batch_normalization_25,BatchNormalization,N/A,,,,,,,
28,max_pooling2d_10,MaxPooling2D,N/A,,,"[2, 2]",valid,,"[2, 2]",
29,spatial_dropout2d_10,SpatialDropout2D,N/A,,,,,,,0.1
30,leaky_re_lu_25,LeakyReLU,N/A,,,,,,,
31,separable_conv2d_28,SeparableConv2D,N/A,384.0,"[3, 3]","[1, 1]",same,linear,,
32,batch_normalization_26,BatchNormalization,N/A,,,,,,,
33,max_pooling2d_11,MaxPooling2D,N/A,,,"[2, 2]",valid,,"[2, 2]",
34,spatial_dropout2d_11,SpatialDropout2D,N/A,,,,,,,0.1
35,leaky_re_lu_26,LeakyReLU,N/A,,,,,,,
36,separable_conv2d_29,SeparableConv2D,N/A,8.0,"[1, 1]","[1, 1]",same,linear,,
37,global_average_pooling2d_2,GlobalAveragePooling2D,N/A,,,,,,,
